name,name_ko,current_lat,current_lon,kakao_lat,kakao_lon,distance_m,kakao_url,flagged
Bistrot de Yountville,비스트로 드 욘트빌,37.5260775580607,127.041242298379,37.5260775580607,127.041242298379,0.0,http://place.map.kakao.com/15884436,no
Bium,비움,37.5224087946203,127.054313953122,37.5224087946203,127.054313953122,0.0,http://place.map.kakao.com/1488389083,no
Bongmilga,봉밀가,37.51598140935323,127.04240520642307,37.51598140935323,127.04240520642307,0.0,http://place.map.kakao.com/26794399,no
Bongsanok,봉산옥,37.48334671207511,127.01246536288953,37.48334671207511,127.01246536288953,0.0,http://place.map.kakao.com/7908112,no
Boreumsae,보름쇠,37.5093161231852,127.056633269577,37.5093161231852,127.056633269577,0.0,http://place.map.kakao.com/27201586,no
Borgo Hannam,보르고 한남,37.5370409185445,127.001959680678,37.5370409185445,127.001959680678,0.0,http://place.map.kakao.com/1618801565,no
Born and Bred,본 앤 브레드,37.5668051246026,127.044520102066,37.5668051246026,127.044520102066,0.0,http://place.map.kakao.com/1720612210,no
Buchon Yukhoe,부촌육회,37.5703778574977,126.999932082432,37.5703778574977,126.999932082432,0.0,http://place.map.kakao.com/21852953,no
Budnamujip,버드나무집,37.48913764364786,127.0311629855974,37.48913764364786,127.0311629855974,0.0,http://place.map.kakao.com/8323721,no
Byeokje Galbi,벽제갈비,37.5100191449277,127.126184140413,37.5100191449277,127.126184140413,0.0,http://place.map.kakao.com/11062667,no
Chaconne,샤콘느,37.50280521508084,127.03371327687778,37.50280521508084,127.03371327687778,0.0,http://place.map.kakao.com/1862834341,no
Chez Nous Private Kitchen,셰누 프라이빗 키친,37.53634468976835,126.9873957045339,37.53634468976835,126.9873957045339,0.0,http://place.map.kakao.com/59330476,no
Chez Simon,쉐시몽,37.54008435314553,126.99384463269085,37.54008435314553,126.99384463269085,0.0,http://place.map.kakao.com/8448744,no
Collage,꼴라쥬,37.51623089848834,127.03110977320574,37.51623089848834,127.03110977320574,0.0,http://place.map.kakao.com/245774987,no
Comme Moa,꼼 모아,37.54351668314239,126.98771133209878,37.54351668314239,126.98771133209878,0.0,http://place.map.kakao.com/26434677,no
Continental,콘티넨탈,37.55603388052197,127.0051743265238,37.55603388052197,127.0051743265238,0.0,http://place.map.kakao.com/7867106,no
Crystal Jade,크리스탈 제이드,37.5643108693332,126.981278908966,37.5643108693332,126.981278908966,0.0,http://place.map.kakao.com/1942281342,no
Daesungjip,대성집,37.572704956161914,126.96088845235445,37.572704956161914,126.96088845235445,0.0,http://place.map.kakao.com/24448306,no
Damtaek,담택,37.554451999412265,126.91516525478127,37.554451999412265,126.91516525478127,0.0,http://place.map.kakao.com/1534943798,no
De Tempore,디 템포레,37.5322184966431,127.00815726784,37.5322184966431,127.00815726784,0.0,http://place.map.kakao.com/1858389286,no
Doori,두리,37.53795972706649,126.96352143235272,37.53795972706649,126.96352143235272,0.0,http://place.map.kakao.com/1096035352,no
Doughroom,도우룸,37.4938358145128,126.993339568782,37.4938358145128,126.993339568782,0.0,http://place.map.kakao.com/461157691,no
Eatanic Garden,이타닉 가든,37.5028641154494,127.04118315776,37.5028641154494,127.04118315776,0.0,http://place.map.kakao.com/2044587542,no
Egg & Flour,에그 앤 플라워,37.5453543271454,126.984372866559,37.5453543271454,126.984372866559,0.0,http://place.map.kakao.com/1838545503,no
ELPIC,엘픽,37.522349918227675,127.04660681759634,37.522349918227675,127.04660681759634,0.0,http://place.map.kakao.com/5289374,no
Épanoui,에빠뉘,37.5218784238456,127.042547684484,37.5218784238456,127.042547684484,0.0,http://place.map.kakao.com/1669908481,no
Escondido,에스콘디도,37.535128539711295,127.01055620889305,37.535128539711295,127.01055620889305,0.0,http://place.map.kakao.com/1088263038,no
Essence,에쌍스,37.4818356217507,127.013367348517,37.4818356217507,127.013367348517,0.0,http://place.map.kakao.com/1645074497,no
Evett,에빗,37.52338340192846,127.03623390719173,37.52338340192846,127.03623390719173,0.0,http://place.map.kakao.com/384592680,no
Exquisine,익스퀴진,37.5210322974382,127.049687423504,37.5210322974382,127.049687423504,0.0,http://place.map.kakao.com/834507328,no
Fuje,후제,37.4821261304299,127.044768296392,37.4821261304299,127.044768296392,0.0,http://place.map.kakao.com/1625504597,no
Gaeseong Mandu Koong,개성만두 궁,37.5742836683493,126.985392432243,37.5742836683493,126.985392432243,0.0,http://place.map.kakao.com/8199745,no
GAGGEN by Choi Junho,가겐 바이 최준호,37.5245020416634,127.04524498101,37.5245020416634,127.04524498101,0.0,http://place.map.kakao.com/100755563,no
Gebangsikdang,게방식당,37.5172951984351,127.039441187112,37.5172951984351,127.039441187112,0.0,http://place.map.kakao.com/499958291,no
Geumdwaeji Sikdang,금돼지식당,37.55705875134064,127.01167974212188,37.55705875134064,127.01167974212188,0.0,http://place.map.kakao.com/1065693087,no
Ggupdang,꿉당,37.516623595266935,127.01904059777625,37.516623595266935,127.01904059777625,0.0,http://place.map.kakao.com/1407082787,no
Gigas,기가스,37.55697621252758,126.97812314290947,37.55697621252758,126.97812314290947,0.0,http://place.map.kakao.com/2072243503,no
GiwaKang,기와강,37.5210995714175,127.028936468942,37.5210995714175,127.028936468942,0.0,http://place.map.kakao.com/1388348726,no
Gom Ba Wie,곰바위,37.5148868706893,127.058806968322,37.5148868706893,127.058806968322,0.0,http://place.map.kakao.com/1869730586,no
Gomtang Lab,곰탕랩,37.508615401380034,127.05976342021437,37.508615401380034,127.05976342021437,0.0,http://place.map.kakao.com/323978195,no
Goobok Mandu,구복만두,37.54540633237531,126.97299140639474,37.54540633237531,126.97299140639474,0.0,http://place.map.kakao.com/27209120,no
Goryori Ken,고료리 켄,37.52300901428518,127.03480609700759,37.52300901428518,127.03480609700759,0.0,http://place.map.kakao.com/651104505,no
Gosari Express,고사리 익스프레스,37.5662676217473,127.020008547897,37.5662676217473,127.020008547897,0.0,http://place.map.kakao.com/173951940,no
Gwanghwamun Gukbap,광화문 국밥,37.5689589279236,126.975391668232,37.5689589279236,126.975391668232,0.0,http://place.map.kakao.com/2067124772,no
Kyoyang Siksa,교양식사,37.535875040060354,126.99991287929387,37.535875040060354,126.99991287929387,0.0,http://place.map.kakao.com/1014727703,no
Hadongkwan,하동관,37.564430335182415,126.98502310323119,37.564430335182415,126.98502310323119,0.0,http://place.map.kakao.com/1822111964,no
Haenam Cheonilgwan,해남천일관,37.498683401689,127.00198129538,37.498683401689,127.00198129538,0.0,http://place.map.kakao.com/181268539,no
Hakusi,하쿠시,37.5241125567483,127.032287293585,37.5241125567483,127.032287293585,0.0,http://place.map.kakao.com/1036536748,no
Halmaejip,할매집,37.5756722533152,126.9714409052,37.5756722533152,126.9714409052,0.0,http://place.map.kakao.com/8612493,no
HANE,하네,37.5276365316183,127.034907802556,37.5276365316183,127.034907802556,0.0,http://place.map.kakao.com/1815052432,no
